forecast_model,horizon_months,origin_month,target_month,log_predictive_density,origin_high_risk_probability,forecast_high_risk_probability,target_in_heldout,hmm_parameters_refit
unconditional,3,2025-06-01,2025-09-01,6.838283378006013,1.0,0.11645127765513666,True,False
persistence,3,2025-06-01,2025-09-01,-14.1877471825005,1.0,1.0,True,False
hmm_transition,3,2025-07-01,2025-10-01,1.3859143349095997,1.0,0.1272037666010096,True,False
unconditional,3,2025-07-01,2025-10-01,1.398158650809823,1.0,0.11645127765513666,True,False
persistence,3,2025-07-01,2025-10-01,-14.081276798044993,1.0,1.0,True,False
hmm_transition,3,2025-08-01,2025-11-01,0.11381001460738692,8.767589943775014e-10,0.11503410502546074,True,False
unconditional,3,2025-08-01,2025-11-01,0.1122073449587138,8.767589943775014e-10,0.11645127765513666,True,False
persistence,3,2025-08-01,2025-11-01,0.23601613792967002,8.767589943775014e-10,8.767589943775014e-10,True,False
hmm_transition,3,2025-09-01,2025-12-01,4.002194297351867,6.429334072335801e-11,0.1150341050155733,True,False
unconditional,3,2025-09-01,2025-12-01,4.0005916270551785,6.429334072335801e-11,0.11645127765513666,True,False
persistence,3,2025-09-01,2025-12-01,4.124400467149185,6.429334072335801e-11,6.429334072335801e-11,True,False
hmm_transition,3,2025-10-01,2026-01-01,-8.689058579800642,1.648244534532188e-08,0.11503410521537666,True,False
unconditional,3,2025-10-01,2026-01-01,-8.690657596930903,1.648244534532188e-08,0.11645127765513666,True,False
persistence,3,2025-10-01,2026-01-01,-8.567114446336234,1.648244534532188e-08,1.648244534532188e-08,True,False
hmm_transition,3,2025-11-01,2026-02-01,0.81986341666909,3.5818461899744815e-08,0.11503410545068944,True,False
unconditional,3,2025-11-01,2026-02-01,0.81826074712502,3.5818461899744815e-08,0.11645127765513666,True,False
persistence,3,2025-11-01,2026-02-01,0.942069532489335,3.5818461899744815e-08,3.5818461899744815e-08,True,False
hmm_transition,3,2025-12-01,2026-03-01,-24.45238937828276,1.209301497517335e-09,0.11503410502950766,True,False
unconditional,3,2025-12-01,2026-03-01,-24.440145060177212,1.209301497517335e-09,0.11645127765513666,True,False
persistence,3,2025-12-01,2026-03-01,-42.823085667975064,1.209301497517335e-09,1.209301497517335e-09,True,False
hmm_transition,3,2026-01-01,2026-04-01,-18.868656460747715,0.00019853290507761424,0.1150365210930594,True,False
unconditional,3,2026-01-01,2026-04-01,-18.856433145441112,0.00019853290507761424,0.11645127765513666,True,False
persistence,3,2026-01-01,2026-04-01,-25.230706537357072,0.00019853290507761424,0.00019853290507761424,True,False
hmm_transition,3,2026-02-01,2026-05-01,-17.836364274618568,1.539883987174859e-08,0.11503410520218954,True,False
unconditional,3,2026-02-01,2026-05-01,-17.824125561630712,1.539883987174859e-08,0.11645127765513666,True,False
persistence,3,2026-02-01,2026-05-01,-25.519365577211435,1.539883987174859e-08,1.539883987174859e-08,True,False
hmm_transition,3,2026-03-01,2026-06-01,-6.853112813264772,1.0,0.1272037666010096,True,False
unconditional,3,2026-03-01,2026-06-01,-6.840871469434867,1.0,0.11645127765513666,True,False
persistence,3,2026-03-01,2026-06-01,-15.169772138518438,1.0,1.0,True,False
