residual_date,origin_date,forecast_horizon,observed_value,predicted_value,residual,selected_model,training_cutoff
2025-04-28,2025-04-21,1,3109688.0,3523518.1813666984,-413830.18136669835,harmonic_ridge,2025-04-21
2025-05-05,2025-04-28,1,3054813.0,3576512.549747837,-521699.5497478368,harmonic_ridge,2025-04-28
2025-05-12,2025-05-05,1,3994268.0,3623379.351191265,370888.64880873496,harmonic_ridge,2025-05-05
2025-05-19,2025-05-12,1,3899856.0,3688173.5069936854,211682.49300631462,harmonic_ridge,2025-05-12
2025-05-26,2025-05-19,1,4415735.0,3734808.136521385,680926.863478615,harmonic_ridge,2025-05-19
2025-06-02,2025-05-26,1,4170626.0,3778118.763346526,392507.23665347416,harmonic_ridge,2025-05-26
2025-06-09,2025-06-02,1,3488165.0,3794094.0919969752,-305929.09199697524,harmonic_ridge,2025-06-02
2025-06-16,2025-06-09,1,3565688.0,3771753.9440408023,-206065.9440408023,harmonic_ridge,2025-06-09
2025-06-23,2025-06-16,1,3100600.0,3738145.1602414614,-637545.1602414614,harmonic_ridge,2025-06-16
2025-06-30,2025-06-23,1,2850613.0,3683371.474682032,-832758.4746820321,harmonic_ridge,2025-06-23
2025-07-07,2025-06-30,1,2700150.0,3621189.8935817108,-921039.8935817108,harmonic_ridge,2025-06-30
2025-07-14,2025-07-07,1,4386848.0,3561758.557730921,825089.4422690789,harmonic_ridge,2025-07-07
2025-07-21,2025-07-14,1,3133724.0,3563119.434159569,-429395.434159569,harmonic_ridge,2025-07-14
2025-07-28,2025-07-21,1,3977571.0,3542322.2165411483,435248.78345885174,harmonic_ridge,2025-07-21
2025-08-04,2025-07-28,1,2983448.0,3560950.9503317755,-577502.9503317755,harmonic_ridge,2025-07-28
2025-08-11,2025-08-04,1,3459775.0,3564053.6406693063,-104278.64066930627,harmonic_ridge,2025-08-04
2025-08-18,2025-08-11,1,4211369.0,3590336.109962972,621032.8900370281,harmonic_ridge,2025-08-11
2025-08-25,2025-08-18,1,3012667.0,3640914.8939096034,-628247.8939096034,harmonic_ridge,2025-08-18
2025-09-01,2025-08-25,1,3819151.0,3652390.739444781,166760.2605552189,harmonic_ridge,2025-08-25
2025-09-08,2025-09-01,1,3387644.0,3675306.6928580776,-287662.6928580776,harmonic_ridge,2025-09-01
2025-09-15,2025-09-08,1,2676630.0,3667321.582187878,-990691.582187878,harmonic_ridge,2025-09-08
2025-09-22,2025-09-15,1,2934047.0,3616454.0130588408,-682407.0130588408,harmonic_ridge,2025-09-15
2025-09-29,2025-09-22,1,4111692.0,3548975.487459029,562716.5125409709,harmonic_ridge,2025-09-22
2025-10-06,2025-09-29,1,2514593.0,3490979.4498152104,-976386.4498152104,harmonic_ridge,2025-09-29
2025-10-13,2025-10-06,1,3071928.0,3366853.054919844,-294925.054919844,harmonic_ridge,2025-10-06
2025-10-20,2025-10-13,1,3148143.0,3244539.387584553,-96396.3875845531,harmonic_ridge,2025-10-13
2025-10-27,2025-10-20,1,3420084.0,3118182.226430443,301901.7735695569,harmonic_ridge,2025-10-20
2025-11-03,2025-10-27,1,1968718.0,3001991.2852130067,-1033273.2852130067,harmonic_ridge,2025-10-27
2025-11-10,2025-11-03,1,2404712.0,2857874.3225943507,-453162.32259435067,harmonic_ridge,2025-11-03
2025-11-17,2025-11-10,1,1880068.0,2747982.749836714,-867914.749836714,harmonic_ridge,2025-11-10
2025-11-24,2025-11-17,1,1755618.0,2653052.639844571,-897434.6398445708,harmonic_ridge,2025-11-17
2025-12-01,2025-11-24,1,2198088.0,2589394.2063353998,-391306.20633539977,harmonic_ridge,2025-11-24
2025-12-08,2025-12-01,1,2149031.0,2574350.8941432084,-425319.8941432084,harmonic_ridge,2025-12-01
2025-12-15,2025-12-08,1,2556432.0,2592355.074590119,-35923.07459011907,harmonic_ridge,2025-12-08
2025-12-22,2025-12-15,1,1946663.0,2650875.4926496833,-704212.4926496833,harmonic_ridge,2025-12-15
2025-12-29,2025-12-22,1,3315474.0,2714547.633879446,600926.366120554,harmonic_ridge,2025-12-22
2026-01-05,2025-12-29,1,3321886.0,2828379.161636059,493506.8383639408,harmonic_ridge,2025-12-29
2026-01-12,2026-01-05,1,2869348.0,2944235.4486472323,-74887.44864723226,harmonic_ridge,2026-01-05
2026-01-19,2026-01-12,1,2510089.0,3040497.4427550933,-530408.4427550933,harmonic_ridge,2026-01-12
2026-01-26,2026-01-19,1,2657098.0,3112919.331927161,-455821.3319271612,harmonic_ridge,2026-01-19
2026-02-02,2026-01-26,1,2359042.0,3170847.340671328,-811805.3406713279,harmonic_ridge,2026-01-26
2026-02-09,2026-02-02,1,3418939.0,3200723.930729037,218215.06927096285,harmonic_ridge,2026-02-02
2026-02-16,2026-02-09,1,3425169.0,3240102.890177181,185066.109822819,harmonic_ridge,2026-02-09
