path_id,selected_policy_loss,bc_policy_loss,sac_policy_loss,selector_ex_post_regret,interpretation_boundary
test_058_fbcfbffca03e,121860.71575973016,121322.28322923837,302767.69855113677,538.4325304917875,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_059_d22925a9593f,113554.16734885907,112990.62999208081,279687.6363137145,563.5373567782663,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_060_b3feb9e274c2,118097.60406680567,117612.9106235307,289269.0698646855,484.69344327496947,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_061_627abde70c26,115971.46588796999,115398.47484223009,288697.45929875557,572.9910457398946,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_062_0c9ea14e9507,122055.72919975757,121477.56298311637,292468.02816915116,578.1662166411988,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_063_44f0f2a191ef,114961.51792633842,114131.88184923811,273879.8258559666,829.6360771003092,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_064_27d69866b791,104116.8609601768,103652.56870811853,264635.05841586436,464.29225205826515,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_065_930038cc16e9,118811.83617726395,118305.29391370917,276717.77494497556,506.54226355477294,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_066_28fb87ba4913,122836.10150880688,122268.84206189161,301085.75485747476,567.2594469152682,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_067_4d46fa716471,120110.82696726937,119600.72000791453,279038.65059231286,510.10695935484546,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_068_93da1d4ae1ba,125058.01031886495,124437.61905897938,299604.54412631376,620.3912598855677,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_069_5b01ea54b2fa,107491.70310946926,106962.51428255405,281981.0580204769,529.1888269152114,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_070_0cd9bcac96c3,120693.66437468508,120121.144682914,296686.08597860177,572.5196917710709,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_071_34f77888383f,109017.58317520244,108352.8981219895,261740.14910489108,664.685053212932,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_072_8e59fac0e6c8,116888.34069515103,116633.14174039905,276454.53361720865,255.198954751977,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_073_69349232969b,116127.8986340404,115656.87540504576,293831.48685433465,471.0232289946289,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_074_212affc962e2,114513.77084492387,114066.71864238281,291974.42092611577,447.052202541061,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_075_8de4e41c7ad9,108267.92344365739,107823.60707056559,272628.3233116439,444.31637309180223,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_076_48339f21c8ec,123810.77283616293,123199.04149199698,302275.8379460981,611.7313441659498,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
