policy,path_id,training_seed,right_censored,clearance_weeks_observed,restricted_clearance_time_contribution,ending_outstanding_mass,terminal_correction,decision_clearance_terminal_residual,exit_channel_residual,clearance_observation_valid,restricted_clearance_time_residual,terminal_once_valid,status
Behaviour cloning,test_004_55a330aff5c4,1409200687.0,False,79,79,5.014287198554112e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_004_55a330aff5c4,3018804584.0,False,79,79,5.034508079989459e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Behaviour cloning,test_004_55a330aff5c4,959653586.0,False,79,79,5.026717896565254e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
PPO,test_004_55a330aff5c4,1694234878.0,False,79,79,4.758059841041481e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_004_55a330aff5c4,1635820214.0,False,79,79,5.028707017851376e-07,0.0,2.9103830456733704e-11,9.094947017729282e-13,True,0,True,PASS
PPO,test_004_55a330aff5c4,456241246.0,False,79,79,4.915448834837451e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_004_55a330aff5c4,3760190062.0,False,78,78,6.524352078388973e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_004_55a330aff5c4,3890281123.0,False,78,78,6.524406640728844e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_004_55a330aff5c4,4226533458.0,False,78,78,6.524447937464451e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_004_55a330aff5c4,301721597.0,False,78,78,6.524173676255275e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_004_55a330aff5c4,554911178.0,False,78,78,6.524551125952195e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_004_55a330aff5c4,1600960620.0,False,78,78,6.524426666632006e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_004_55a330aff5c4,301721597.0,False,79,79,5.018595873825297e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_004_55a330aff5c4,554911178.0,False,79,79,5.038020302447685e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_004_55a330aff5c4,1600960620.0,False,79,79,5.030040781377473e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Passive,test_005_981c73a17708,,False,78,78,7.337601552337193e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Reactive,test_005_981c73a17708,,False,79,79,5.332448657850177e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_005_981c73a17708,,False,79,79,5.340314956721338e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_005_981c73a17708,1409200687.0,False,79,79,5.446196501227885e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_005_981c73a17708,3018804584.0,False,79,79,5.468190647834818e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_005_981c73a17708,959653586.0,False,79,79,5.459221417637637e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
