panel,chi,policy,mean,lower,upper,physical_paths,mean_path_paired_regret,simultaneous_lower,simultaneous_upper,regret_reference,sample_leader,mean_total_operational_loss,mean_difference_from_leader,in_simultaneous_confidence_set,all_pair_family_size,resolved_better_than_all_competitors
confidence_set,0.75,Reactive,,,,,,0.0,0.0,,Reactive,72549.5173163051,0.0,True,10.0,True
confidence_set,0.75,Projected stochastic MPC,,,,,,4108.000262377348,4530.941227463619,,Reactive,76868.98806122557,4319.470744920483,False,10.0,False
confidence_set,0.75,Behaviour cloning,,,,,,4009.959543970379,4356.755015716775,,Reactive,76732.87459614871,4183.357279843577,False,10.0,False
confidence_set,0.75,Model-guided constrained SAC,,,,,,4314.8455536640395,4638.615265810413,,Reactive,77026.24772604233,4476.730409737226,False,10.0,False
confidence_set,0.875,Passive,,,,,,70660.26532825615,72901.46430470553,,Reactive,126324.73317815945,71780.86481648084,False,10.0,False
confidence_set,0.875,Reactive,,,,,,0.0,0.0,,Reactive,54543.868361678586,0.0,True,10.0,True
confidence_set,0.875,Projected stochastic MPC,,,,,,2323.2370376878607,2694.402996701724,,Reactive,57052.68837887339,2508.8200171947924,False,10.0,False
confidence_set,0.875,Behaviour cloning,,,,,,1597.6285706139222,1888.661742208523,,Reactive,56287.01351808981,1743.1451564112226,False,10.0,False
confidence_set,0.875,Model-guided constrained SAC,,,,,,1799.8744413836696,2070.823148718685,,Reactive,56479.217156729756,1935.3487950511771,False,10.0,False
confidence_set,1.0,Passive,,,,,,5916.863184320018,6360.208443642723,,Reactive,35913.057438664546,6138.535813981371,False,10.0,False
confidence_set,1.0,Reactive,,,,,,0.0,0.0,,Reactive,29774.521624683166,0.0,True,10.0,True
confidence_set,1.0,Projected stochastic MPC,,,,,,1529.2485991776177,1927.0685479429987,,Reactive,31502.68019824346,1728.1585735603082,False,10.0,False
confidence_set,1.0,Behaviour cloning,,,,,,4423.869740704602,4763.637312263643,,Reactive,34368.2751511673,4593.753526484123,False,10.0,False
confidence_set,1.0,Model-guided constrained SAC,,,,,,5598.749065557502,5986.68006331771,,Reactive,35567.23618912077,5792.714564437606,False,10.0,False
