chi,policy,seed_index,training_seed,checkpoint_path,checkpoint_sha256,selected_episode,best_validation_operational_loss,stopped_reason,final_constraint_dual,selected_entropy_temperature,selected_mean_log_standard_deviation,teacher_action_hash,generated_for_5_3_1,loaded_from_5_2_checkpoint
0.5,Behaviour cloning,1,60714114,experiments/5.3-1/checkpoints/chi_0p500/behaviour_cloning_seed_1.npz,810fb2d43e4bc8ecb66733f61b9e1e6a68a3f6f41b4565fc8eb2b43bcc4e143a,12,34848.34818466945,maximum_computational_cap,0.0,,-1.5,3a95d41e2e5ff43167fa6428a77ee2ad4c7832f090bfab975b3f95cf58b30ee7,True,False
0.5,Constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p500/constrained_sac_seed_1.npz,2b2a3968fa1557bfeca1542a40d9e94b155ce495530e28a95d72e03119825e70,3,125282.42762179412,validation_patience,242.616704394825,0.0168628043868854,-1.4894071156150563,not_applicable,True,False
0.5,Model-guided constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p500/model_guided_constrained_sac_seed_1.json,b21de35db8120e1dc8b67d887d1c9f2b73a6c4d8d3a4d642dca66be584231813,3,34922.61538696757,selector_has_no_additional_training,242.616704394825,0.0168628043868854,-1.4894071156150563,3a95d41e2e5ff43167fa6428a77ee2ad4c7832f090bfab975b3f95cf58b30ee7,True,False
0.5,Behaviour cloning,2,1484239003,experiments/5.3-1/checkpoints/chi_0p500/behaviour_cloning_seed_2.npz,6dc93852b80a6befcbd2171a625434f3c0146bdc4567da8acb0b2e9f9bb574e7,12,32098.24180465548,maximum_computational_cap,0.0,,-1.5,3a95d41e2e5ff43167fa6428a77ee2ad4c7832f090bfab975b3f95cf58b30ee7,True,False
0.5,Constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p500/constrained_sac_seed_2.npz,0f122a94ef8131f61dcb281aeabe66e8a76fddff390f72eae3782e9dac901c67,3,125232.36645165712,validation_patience,242.56737071854985,0.0165153301869438,-1.476112132771939,not_applicable,True,False
0.5,Model-guided constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p500/model_guided_constrained_sac_seed_2.json,3de5d4525ba3ce0feba9746233064d1d6b378ad48d8e5a7740d74c4968e4f256,3,31970.418895933068,selector_has_no_additional_training,242.56737071854985,0.0165153301869438,-1.476112132771939,3a95d41e2e5ff43167fa6428a77ee2ad4c7832f090bfab975b3f95cf58b30ee7,True,False
0.625,Behaviour cloning,0,4237354934,experiments/5.3-1/checkpoints/chi_0p625/behaviour_cloning_seed_0.npz,96cf91781e1acf4281b5a04ab10750f496893c42161149e1500e17162e3daa62,12,25491.59589427412,maximum_computational_cap,0.0,,-1.5,034f5d3e5a080572c3bd515831f0daa5b921376942ec241a727d2ee98b7c64bb,True,False
0.625,Constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p625/constrained_sac_seed_0.npz,16d7d97ec5e609799d078e529fc55db1a81f5b858d0ec3e292e175714c993bcd,3,105810.61873645918,validation_patience,310.9781744007901,0.0167476972500615,-1.4874134166382316,not_applicable,True,False
0.625,Model-guided constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p625/model_guided_constrained_sac_seed_0.json,39ba66cc0712aaee21f1f75479b9c3b97d94e763e0bd67adff0725b8792f6821,3,25576.65414643466,selector_has_no_additional_training,310.9781744007901,0.0167476972500615,-1.4874134166382316,034f5d3e5a080572c3bd515831f0daa5b921376942ec241a727d2ee98b7c64bb,True,False
0.625,Behaviour cloning,1,60714114,experiments/5.3-1/checkpoints/chi_0p625/behaviour_cloning_seed_1.npz,5104d5971147f1f4a268859fcfb2dcdc9820052a7ddda4b21a242243073a3579,12,26513.114160318037,maximum_computational_cap,0.0,,-1.5,034f5d3e5a080572c3bd515831f0daa5b921376942ec241a727d2ee98b7c64bb,True,False
0.625,Constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p625/constrained_sac_seed_1.npz,a0355c9eb7b062ff3777a30a6e6add168f7615d3d5de1c0de8274281bb536c09,3,105802.76393363602,validation_patience,311.0812798133025,0.0168490379704684,-1.488371659863104,not_applicable,True,False
0.625,Model-guided constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p625/model_guided_constrained_sac_seed_1.json,fff91abc501ff631e408d27d12d2047a15bbd92c71e4ac5629e4c5dea56173e3,3,26681.534086371077,selector_has_no_additional_training,311.0812798133025,0.0168490379704684,-1.488371659863104,034f5d3e5a080572c3bd515831f0daa5b921376942ec241a727d2ee98b7c64bb,True,False
0.625,Behaviour cloning,2,1484239003,experiments/5.3-1/checkpoints/chi_0p625/behaviour_cloning_seed_2.npz,890485f3e41e478027f5aac84871dda7a20ed199f7ee46317fa7755d50043a77,12,25139.528003123494,maximum_computational_cap,0.0,,-1.5,034f5d3e5a080572c3bd515831f0daa5b921376942ec241a727d2ee98b7c64bb,True,False
0.625,Constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p625/constrained_sac_seed_2.npz,58b3daf60644cfeb2e77c2c70bf9065a231e0716cccf711f8d0bfda74c46aa81,3,105764.25803564252,validation_patience,310.98918440674794,0.0165116639871793,-1.4756883994463892,not_applicable,True,False
0.625,Model-guided constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p625/model_guided_constrained_sac_seed_2.json,579221d900dd0fc0c93d0b82cc2a638f2f39325b7490a1ebed9cde2c668569cd,3,25166.703649707462,selector_has_no_additional_training,310.98918440674794,0.0165116639871793,-1.4756883994463892,034f5d3e5a080572c3bd515831f0daa5b921376942ec241a727d2ee98b7c64bb,True,False
