chi,policy,mean_total_operational_objective,mean_loss_queue,mean_loss_waiting,mean_loss_exit,mean_loss_overflow,mean_loss_route_resource,mean_loss_action,mean_terminal_correction,mean_direct_sue_exit,mean_duration_attrition,mean_waiting_exposure,mean_committed_delivery,mean_adaptive_delivery,mean_committed_delivery_share,mean_terminal_committed_outstanding,mean_terminal_committed_outstanding_share,mean_ending_outstanding_mass
0.75,Reactive,72549.5173163051,11228.87753412201,51463.852789049946,2058.352670058466,5852.2334113401885,1289.8769795748237,656.3239321596637,0.0,0.0001830334435041193,98.01661077886442,4106.071491661955,1275.440772016186,327.1301295548683,1.0,9.836512917325214e-14,7.686493021577705e-17,6.382191120776105e-07
0.875,Behaviour cloning,56287.01351808982,15553.362781967544,27590.75775578655,1098.4601365639598,9721.413748273913,1272.0583340164815,1050.96076148137,0.0,0.00011114768715643256,52.3075144029776,2193.2923680035483,1488.0142340188836,160.26583645194935,1.0,1.4580906777854e-13,9.801581868379096e-17,8.355751931385303e-11
0.875,Model-guided constrained SAC,56479.21715672978,15733.750988442474,27717.080096222777,1101.032538035292,9872.28388946118,1277.2423910757054,777.8272534923417,0.0,0.00011416165276917577,52.43000669717066,2211.6792330888484,1488.0142340188836,160.14334114379636,1.0,1.420797169475966e-13,9.50031313120008e-17,7.78552125699501e-11
0.875,Passive,126324.73317815945,15431.364295862404,95823.4108449428,4097.102181278773,9919.97858114612,1052.8627279896302,0.0,0.014546939697861512,1.975697243270513e-06,195.10010189472052,5693.474055093003,1488.013546032955,17.47335340676605,0.9999995831500723,0.0006879859286426001,4.168499277417176e-07,0.000692711442383273
0.875,Projected stochastic MPC,57052.68837887339,16719.954710376074,27221.045897962842,1092.7554571727162,10743.104629238536,1275.4877220982337,0.0,0.33996202498238587,0.00011333256190317136,52.03586081851983,2116.1625173658167,1487.9982541719983,160.53727903063563,0.9999903178281095,0.015979846885506955,9.682171890621597e-06,0.016188667865701035
0.875,Reactive,54543.8683616786,13649.89249792759,29673.936631339267,1181.9046430148564,8094.66658039197,1250.7908939004274,692.6771151044832,0.0,9.140982335022068e-05,56.28108206707457,2333.4921600237167,1488.0142340188836,156.292288521548,1.0,1.2407187987922152e-13,8.34353113453491e-17,4.251736664368519e-09
1.0,Behaviour cloning,34368.27515116729,18886.53209829825,0.0,0.0,12848.17233179961,1194.4604055389677,1367.6507746927166,71.4595408377425,0.0,0.0,0.0,1697.1848607435938,0.0,0.9980784224125118,3.4028352779877533,0.0019215775874884254,3.4028352779877378
1.0,Model-guided constrained SAC,35567.23618912077,20003.390460246355,0.0,0.0,13835.630701943774,1194.4604055389677,436.43816495336773,97.3164564383096,0.0,0.0,0.0,1695.9535790483287,0.0,0.9973682918331653,4.634116973252855,0.002631708166835096,4.634116973252838
1.0,Passive,35913.05743866454,20416.600714598262,0.0,0.0,14194.141180942415,1194.4604055389677,0.0,107.85513758489564,0.0,0.0,0.0,1695.4517370889678,0.0,0.9970785328864575,5.135958932614099,0.002921467113542907,5.135958932614078
1.0,Projected stochastic MPC,31502.680198243474,16196.10372109245,0.0,0.0,10500.214897493861,1194.4604055389677,3598.4543039772734,13.446870140921039,0.0,0.0,0.0,1699.9473688720143,0.0,0.9996483610810091,0.6403271495676847,0.0003516389189913864,0.6403271495676686
