metric,source_column,chi,policy,reference_policy,physical_paths,mean_paired_difference,standard_error,paired_lower,paired_upper,unadjusted_p_value,simultaneous_lower,simultaneous_upper,holm_adjusted_p_value,multiplicity_family_size,seed_aggregated_within_path_first,inference_unit
queue_loss,loss_queue,0.25,Reactive,Passive,88,1728.535474795574,4.984285024327363,1718.6286686034205,1738.4422809877274,1.9950334727195765e-138,1712.0717425920698,1744.999206999078,6.184603765430687e-137,36,True,physical_path
queue_loss,loss_queue,0.25,Projected stochastic MPC,Passive,88,2479.863868715616,10.265141296168258,2459.4607888636697,2500.266948567562,8.825143890402899e-125,2445.9567914705594,2513.770945960672,2.2062859726007248e-123,36,True,physical_path
queue_loss,loss_queue,0.25,Behaviour cloning,Passive,88,1615.4362797267052,12.43400781954481,1590.7223428112347,1640.1502166421756,2.060356679561752e-101,1574.3651584007555,1656.5074010526548,2.884499351386453e-100,36,True,physical_path
queue_loss,loss_queue,0.25,Model-guided constrained SAC,Passive,88,1658.310225909265,11.959723225480685,1634.5389809807864,1682.0814708377436,7.353582159688697e-104,1618.8057273801273,1697.8147244384027,1.1765731455501916e-102,36,True,physical_path
queue_loss,loss_queue,0.375,Reactive,Passive,88,1533.3223978839596,4.103575272610902,1525.1660976879941,1541.4786980799252,3.0436891465710004e-141,1519.7677628589884,1546.877032908931,1.0348543098341401e-139,36,True,physical_path
queue_loss,loss_queue,0.375,Projected stochastic MPC,Passive,88,2589.61761194448,9.878029444994587,2569.983958813828,2609.251265075132,7.264503334539231e-128,2556.989214754721,2622.2460091342386,1.9614159003255923e-126,36,True,physical_path
queue_loss,loss_queue,0.375,Behaviour cloning,Passive,88,1763.0582861903947,11.152360693341661,1740.8917617170405,1785.224810663749,8.527445877753998e-109,1726.220609573608,1799.8959628071814,1.5349402579957197e-107,36,True,physical_path
queue_loss,loss_queue,0.375,Model-guided constrained SAC,Passive,88,1794.5309848453333,10.925123789469463,1772.816118323998,1816.2458513666686,3.0849196616828746e-110,1758.4439008439058,1830.6180688467607,5.861347357197462e-109,36,True,physical_path
queue_loss,loss_queue,0.5,Reactive,Passive,88,1279.0773432524566,4.673267084882655,1269.7887188924662,1288.3659676124469,1.7191317397413715e-129,1263.6409431618854,1294.5137433430277,4.81356887127584e-128,36,True,physical_path
queue_loss,loss_queue,0.5,Projected stochastic MPC,Passive,88,2679.0342412170717,9.138068054583863,2660.8713414740564,2697.197140960087,4.37869442921458e-132,2648.850031330646,2709.2184511034975,1.2698213844722281e-130,36,True,physical_path
