chi,policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction
0.0,Constrained SAC,2,3413089447,4,170349.21083517908,-327648.63448325515,1.2944926630523124,9.375943399471405,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,9046091558.882025,9046091610.305307,1.7171763131324365,-1.5423683450566028,-1.4714567723564405,0.0134719907191388,0.4858188548301839,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0206352657884468,0.9523809523809524
0.0,Constrained SAC,2,3413089447,5,140605.96234617906,-202233.6822259421,0.0367009562493457,9.450915407595032,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,869116976.6594145,869116980.688214,0.2176815149641603,-1.4329609645031296,-1.4676516801181256,0.0113684807243876,0.4042097409316481,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0350002668576101,1.0
0.0,Constrained SAC,2,3413089447,6,186739.04702460876,-336520.7802185819,1.216446142737564,12.003352307343924,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,9276016701.34798,9276016710.327185,2.115151028050831,-2.7097335080754554,-1.463782696698095,0.0098864375998576,0.3325733307168256,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0429287842170293,1.0
0.0,Constrained SAC,2,3413089447,7,232667.94872620545,-327680.0537959844,1.2940242323887725,14.718703195360348,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,2408131123.203844,2408131134.9872336,1.5208422389873864,-3.106745129593244,-1.4606715921245264,0.0087594915118871,0.2881571948382013,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.016748884931252,0.9523809523809524
0.0,Constrained SAC,2,3413089447,8,176946.62145500755,-202267.91987004515,0.0365110279331031,14.793276354019865,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,655312437.0369858,655312438.1360884,0.2762869214406784,-2.1386800948745863,-1.4581503806789204,0.0078382543792309,0.2645754828923444,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0334291430557694,1.0
0.0,Constrained SAC,2,3413089447,9,215107.23483622068,-336533.6759408421,1.216134653979016,17.345059127375798,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5250891322.51606,5250891323.243795,1.9365359756249136,-2.1325403522329403,-1.4557012777589635,0.0070923843890505,0.2380823017705018,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0361637905994606,1.0
0.125,Behaviour cloning,0,4237354934,1,0.0320725266040692,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,2,0.0317876186605929,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,3,0.0314962426425059,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,4,0.0311979347252534,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,5,0.0308922366253609,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,6,0.0305787025710793,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,7,0.0302569078547708,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,8,0.0299264591192408,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,9,0.029587006484799,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,10,0.0292382575492883,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,11,0.0288799931830925,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,0,4237354934,12,0.0285120848900334,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Constrained SAC,0,1044336490,1,24297.063767937936,-183656.16394579055,4.43773287511021,9.31743903773144,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,14494334827.795103,14494334928.983582,21.4575112799786,-3.1077601853677246,-1.4959126429099143,0.0301790965134963,1.2020797360327573,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.14846634402198,0.4285714285714285
0.125,Constrained SAC,0,1044336490,2,51172.31698650988,-188234.6033685781,0.1341126213766725,9.596975542622456,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,10432377353.214256,10432377402.414385,0.3457636798526329,-1.8242500763885376,-1.494586201300947,0.0213844389762181,0.8202047843163123,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0301497114912829,1.0
0.125,Constrained SAC,0,1044336490,3,111028.27943192668,-325177.3641487328,3.6157630912721976,17.187978034294073,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,24342829909.156685,24342830014.96877,13.620194240177224,-3.494674596160088,-1.488990565578968,0.0167641497738956,0.5795734347641643,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0264615838065171,0.5714285714285714
0.125,Constrained SAC,0,1044336490,4,149370.541562691,-317827.81499841675,4.33503847284441,26.28945882726733,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,11865544741.744823,11865544820.627346,9.450258730079318,-3.168249525851923,-1.4832913035632025,0.0137622999298515,0.4697849992331938,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0123698434417264,0.3809523809523809
0.125,Constrained SAC,0,1044336490,5,140979.8179292691,-188684.44163012045,0.1327601666091627,26.56615517714657,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,264817225.3219593,264817222.4524674,1.717580505972209,-2.9222278110932645,-1.4796020390371034,0.0116594258023678,0.3948048332686192,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.021147694421434,1.0
0.125,Constrained SAC,0,1044336490,6,187779.53779744208,-325189.2866662489,3.6153318620356782,34.1562520874215,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,6731774868.725494,6731774879.054214,8.287691302522381,-2.705265959558633,-1.4758510892241998,0.0101054355506893,0.340574957643724,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0243474155046457,0.8095238095238095
0.125,Constrained SAC,0,1044336490,7,202856.7100501932,-317835.01826313545,4.334577049387578,43.2567638911354,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4344094467.618608,4344094479.64839,5.799200479209151,-1.4760021667298262,-1.472479405299308,0.0088762657267138,0.3087916907912158,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0108364356212572,0.3809523809523809
0.125,Constrained SAC,0,1044336490,8,175677.46450152286,-188698.4626625441,0.132696244486289,43.53332600455658,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,801470616.8044637,801470616.1228249,2.3954757309417056,-1.654309192100883,-1.4694009962657175,0.0079187390450416,0.271783239573697,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0206697307784832,1.0
0.125,Constrained SAC,0,1044336490,9,217284.79754513263,-325192.56404175056,3.615210387194484,51.123167817664985,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,3227964577.660445,3227964571.518191,6.043662669294868,-1.483291484314836,-1.467172882778339,0.0071442002653728,0.2450740614712895,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.022091765247117,0.7142857142857143
0.125,Behaviour cloning,1,60714114,1,0.0318824768987623,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,2,0.0316257549647959,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,3,0.0313634138769678,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,4,0.0310950076335343,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,5,0.0308200831649214,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,6,0.0305381840165973,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,7,0.0302488551484581,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,8,0.0299516490325083,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,9,0.0296461332318507,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,10,0.0293318996322206,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,11,0.0290085754669392,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Behaviour cloning,1,60714114,12,0.0286758362207712,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.125,Constrained SAC,1,2857687458,1,25954.442083530204,-191312.42128092484,4.406988900046711,9.252876690098091,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,15851336125.12398,15851336082.715366,20.865480202904237,-4.321142590822892,-1.5039728566201718,0.0306618557186268,1.1642943049866687,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.1664996047992646,0.7619047619047619
0.125,Constrained SAC,1,2857687458,2,49508.34160578745,-188071.457336884,0.1341138371786247,9.532415748173207,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,10747564070.875715,10747564103.827871,0.3518672527411463,-3.134652485752733,-1.4963953095210896,0.0218898757655248,0.8023694314611189,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0396938325647689,1.0
0.125,Constrained SAC,1,2857687458,3,107478.90056324525,-325159.88035711995,3.615699225511975,17.12328412174836,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,25492088658.531013,25492088668.280037,12.892817515326085,-1.8898848373693675,-1.491120287662926,0.016876248105661,0.6193262863799379,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0427854715427863,0.6666666666666666
