warning_scenario,base_path_id,base_physical_path_sha256,total_blocked,peak_blocked,mean_serviceability,minimum_serviceability,recovery_rate,weeks
GH,test_052_9760565f31de,6035569faeed384797542e22427b98096943350bd372d90adabb2f7b8bd83c2d,1708.6978081517175,121.00887970288105,0.34148319206698496,0.0,0.0188286157287928,29
GH,test_053_4473e6f72168,17a3df2ca591ed3526e75386d9ef68be536d2e20274236e9f585e3eab4517305,1692.4153121973015,116.57550371430219,0.3444347464290296,0.0,0.02122266176541614,29
GH,test_054_c66f0b1dacc4,41d8a5d8d4cfcde283bef35c1b2d5ce97e39ebb3c2113f99f8fd9b7941330476,1690.3223225033337,117.93842897116802,0.3370049440807741,0.0,0.017955412718123842,29
GH,test_055_f90330578051,e326898d13671d058e9870b749033db5deaedc7911ad667ec11d6318f5e5b833,1772.9574057273462,110.02359564832547,0.3390951588242292,0.0,0.01674469156858396,29
GH,test_056_b2c64046cef9,b502bb540057ea09101e5a92cf118d4c56c5e877b089e5a6174a0c5376124a73,1659.0028733414065,109.08980169182242,0.33699673407014763,0.0,0.01808202107898679,29
GH,test_057_bf11b8e004e2,bd54b59477f900317d7a6030359d807e3fd1567aed129780d6c3a1179956b9b0,1672.1108498093313,120.95276764259634,0.3400568934994942,0.0,0.020076323453087765,29
GH,test_058_fbcfbffca03e,13831837259f85f8b98b1b4c0178e5e4f669e020ebeaab3661478609d357b2f2,1778.729563881269,120.69900778031324,0.3387582157041197,0.0,0.019023978289571197,29
GH,test_059_d22925a9593f,65a524d66b35e81b093404e6035554728cfd659313f34e588cf5b6e2f203bf7e,1665.7081996119964,121.53913598826348,0.3426842432332753,0.0,0.019423898896026828,29
GH,test_060_b3feb9e274c2,fe682fe273560fd0980f751cdfa7c31a0af682fbc188f47a4be67cd05391ad49,1722.2891749749663,116.117655486011,0.3366828869651407,0.0,0.018754174319580402,29
GH,test_061_627abde70c26,9c8b14e19bd2698ae546067471c6494d669882592255e3ba42b51e389929b531,1713.7492768920217,124.79793154548993,0.33787319538315963,0.0,0.017985628067884545,29
GH,test_062_0c9ea14e9507,af66fd8fb7365940ac5c1b9dc17d1039a43a9fd2a98560c7757a265c61778c70,1741.072359274989,116.05130264432559,0.336453257670651,0.0,0.018767584311163214,29
GH,test_063_44f0f2a191ef,9b047725f5e05c013bf644e7fe14234fc246265c97db48c08b1f430961820dbd,1637.9880933601132,111.66071215779053,0.34836603184936965,0.0,0.019933581575804205,29
GH,test_064_27d69866b791,5f6b4edb7095f7ca58bdefc63fb823fc255df66a141464fcf1266546ab804d66,1564.6131137808054,113.01539284690543,0.34665423893497416,0.0,0.02206155682290794,29
GH,test_065_930038cc16e9,ed770af97447cc6ec3b990ca1ef9540e1f795247d7d2c7f6ca7de9b23418ba1a,1668.014691485429,106.51813987053478,0.337108342899008,0.0,0.01702191392154178,29
GH,test_066_28fb87ba4913,9b548ccc36e0f1fcf56118f1c4cd88441dc46405c6bb547e1dc04c4a67ae436a,1775.1508766525674,114.18814415755561,0.3416833372670763,0.0,0.016675651247445755,29
