split,path_id,origin_week,target_week,route,reference_wait_forecast_weeks,realised_next_state_wait_proxy_weeks,forecast_error_weeks,absolute_error_weeks,squared_error_weeks2
validation,validation_001_83c2af15fd75,2001-10-08,2001-10-15,Fujairah,5.608148281916419,5.986364083268452,0.3782158013520327,0.3782158013520327,0.14304719239236027
validation,validation_001_83c2af15fd75,2001-10-08,2001-10-15,Khor_Fakkan,2.932676437944079,2.8909406856812767,-0.04173575226280235,0.04173575226280235,0.0017418730169420115
validation,validation_001_83c2af15fd75,2001-10-08,2001-10-15,Sohar,4.063058948693435,4.123219796920846,0.060160848227411634,0.060160848227411634,0.0036193276594416574
validation,validation_001_83c2af15fd75,2001-10-15,2001-10-22,Fujairah,5.986364083268452,6.252153472336664,0.26578938906821215,0.26578938906821215,0.07064399934125346
validation,validation_001_83c2af15fd75,2001-10-15,2001-10-22,Khor_Fakkan,2.8909406856812767,2.8184530343952203,-0.07248765128605639,0.07248765128605639,0.005254459588968912
validation,validation_001_83c2af15fd75,2001-10-15,2001-10-22,Sohar,4.123219796920846,4.166795533713589,0.04357573679274296,0.04357573679274296,0.0018988448370304124
validation,validation_001_83c2af15fd75,2001-10-22,2001-10-29,Fujairah,6.252153472336664,6.326550573997311,0.07439710166064728,0.07439710166064728,0.005534928735504686
validation,validation_001_83c2af15fd75,2001-10-22,2001-10-29,Khor_Fakkan,2.8184530343952203,2.818442441072727,-1.059332249342404e-05,1.059332249342404e-05,1.1221848144968372e-10
validation,validation_001_83c2af15fd75,2001-10-22,2001-10-29,Sohar,4.166795533713589,4.161664391213518,-0.005131142500071739,0.005131142500071739,2.632862335604246e-05
validation,validation_001_83c2af15fd75,2001-10-29,2001-11-05,Fujairah,6.326550573997311,6.42014795080677,0.09359737680945912,0.09359737680945912,0.008760468945611876
validation,validation_001_83c2af15fd75,2001-10-29,2001-11-05,Khor_Fakkan,2.818442441072727,2.85991937588395,0.04147693481122294,0.04147693481122294,0.0017203361213344375
validation,validation_001_83c2af15fd75,2001-10-29,2001-11-05,Sohar,4.161664391213518,4.158276469741735,-0.0033879214717824624,0.0033879214717824624,1.1478011898964647e-05
validation,validation_001_83c2af15fd75,2001-11-05,2001-11-12,Fujairah,6.42014795080677,6.503230163994418,0.08308221318764808,0.08308221318764808,0.006902654148157805
validation,validation_001_83c2af15fd75,2001-11-05,2001-11-12,Khor_Fakkan,2.85991937588395,2.728692134869406,-0.13122724101454386,0.13122724101454386,0.01722058878428918
validation,validation_001_83c2af15fd75,2001-11-05,2001-11-12,Sohar,4.158276469741735,4.160895450215722,0.002618980473986454,0.002618980473986454,6.859058723122312e-06
validation,validation_001_83c2af15fd75,2001-11-12,2001-11-19,Fujairah,6.503230163994418,6.128144636753701,-0.3750855272407172,0.3750855272407172,0.1406891527454468
validation,validation_001_83c2af15fd75,2001-11-12,2001-11-19,Khor_Fakkan,2.728692134869406,2.6812493123057997,-0.047442822563606324,0.047442822563606324,0.002250821412801833
validation,validation_001_83c2af15fd75,2001-11-12,2001-11-19,Sohar,4.160895450215722,4.167826560306042,0.006931110090320658,0.006931110090320658,4.804028708414484e-05
validation,validation_001_83c2af15fd75,2001-11-19,2001-11-26,Fujairah,6.128144636753701,6.017909998154972,-0.11023463859872873,0.11023463859872873,0.012151675546992334
validation,validation_001_83c2af15fd75,2001-11-19,2001-11-26,Khor_Fakkan,2.6812493123057997,2.749503483236149,0.06825417093034947,0.06825417093034947,0.0046586318493893625
validation,validation_001_83c2af15fd75,2001-11-19,2001-11-26,Sohar,4.167826560306042,4.145309873774014,-0.022516686532028096,0.022516686532028096,0.0005070011723816155
validation,validation_001_83c2af15fd75,2001-11-26,2001-12-03,Fujairah,6.017909998154972,5.931919195692805,-0.08599080246216761,0.08599080246216761,0.007394418108087532
validation,validation_001_83c2af15fd75,2001-11-26,2001-12-03,Khor_Fakkan,2.749503483236149,2.765287076852466,0.01578359361631687,0.01578359361631687,0.0002491218274450387
validation,validation_001_83c2af15fd75,2001-11-26,2001-12-03,Sohar,4.145309873774014,4.13441788619561,-0.010891987578403928,0.010891987578403928,0.00011863539340810545
validation,validation_001_83c2af15fd75,2001-12-03,2001-12-10,Fujairah,5.931919195692805,5.73501870041096,-0.19690049528184517,0.19690049528184517,0.03876980504223593
validation,validation_001_83c2af15fd75,2001-12-03,2001-12-10,Khor_Fakkan,2.765287076852466,2.6013077504822397,-0.16397932637022627,0.16397932637022627,0.026889219476833186
validation,validation_001_83c2af15fd75,2001-12-03,2001-12-10,Sohar,4.13441788619561,4.1335514563846605,-0.0008664298109497537,0.0008664298109497537,7.507006173024259e-07
validation,validation_001_83c2af15fd75,2001-12-10,2001-12-17,Fujairah,5.73501870041096,5.1762327670737,-0.5587859333372593,0.5587859333372593,0.312241719295592
validation,validation_001_83c2af15fd75,2001-12-10,2001-12-17,Khor_Fakkan,2.6013077504822397,2.4318956621050813,-0.16941208837715838,0.16941208837715838,0.02870045568831012
validation,validation_001_83c2af15fd75,2001-12-10,2001-12-17,Sohar,4.1335514563846605,4.139525033930531,0.00597357754587069,0.00597357754587069,3.5683628696530495e-05
